StAndId	Lat	Long	Lcounts
J222	371128	3000857	0
G321	371008	3001070	1
K316	371685	3000906	2
G38	370980	3001078	4
F34	371487	3001084	0
J28	371146	3000877	0
K312	371673	3000908	5
A113	371800	3001511	0
G35	370973	3001080	0
K35	371665	3000912	2
H121	369804	3000828	0
A323	371813	3001477	0
C26	371315	3001056	0
D13	369975	3001369	0
D18	369973	3001358	0
G123	371016	3001076	0
G18	370988	3001081	1
G28	370981	3001078	1
H311	369776	3000821	0
K125	371698	3000897	0
K214	371692	3000904	1
K317	371685	3000908	4
B321	370877	3001086	0
E114	369977	3000944	0
E320	369950	3000919	0
G125	371021	3001074	0
H32	369766	3000839	1
A116	371797	3001509	0
A120	371792	3001500	0
A121	371792	3001498	0
A18	371802	3001522	0
A218	371830	3001520	0
A321	371815	3001477	0
C25	371315	3001058	0
D125	369988	3001330	0
D17	369973	3001360	0
D319	369989	3001332	0
E11	369984	3000968	0
E23	369984	3000952	0
E24	369984	3000950	0
F114	371464	3001075	1
F12	371474	3001097	0
F210	371475	3001075	0
G27	370980	3001080	3
H110	369781	3000830	1
J124	371124	3000866	0
J125	371124	3000868	0
J17	371149	3000886	0
J221	371129	3000857	0
J24	371154	3000888	4
K215	371692	3000906	0
A224	371840	3001529	0
B125	370886	3001099	0
C124	371315	3001054	0
E16	369980	3000957	0
F22	371485	3001089	0
F27	371479	3001080	0
G22	370970	3001084	0
H212	369781	3000828	0
J18	371149	3000884	0
A122	371792	3001496	0
A15	371805	3001525	0
A19	371802	3001520	0
A25	371818	3001496	0
A38	371835	3001496	0
B13	370849	3001118	0
C321	371346	3001041	6
D22	370018	3001367	0
D220	369984	3001349	0
E25	369984	3000948	0
F211	371475	3001073	0
G210	370985	3001080	1
H217	369782	3000819	0
A115	371797	3001507	0
A215	371828	3001516	0
E213	369983	3000931	0
E28	369984	3000942	0
G15	370983	3001083	2
H22	369769	3000839	2
J213	371139	3000871	0
K218	371693	3000908	0
J217	371134	3000864	0
J23	371154	3000886	1
A28	371820	3001503	0
B16	370854	3001116	0
K320	371695	3000908	0
E314	369959	3000928	0
G115	371003	3001078	1
G217	370998	3001078	1
K36	371664	3000914	0
B219	370874	3001096	0
C24	371313	3001060	1
F215	371470	3001067	0
J117	371131	3000871	0
E12	369984	3000966	0
B210	370858	3001107	1
F115	371464	3001073	0
C33	371318	3001069	0
C317	371341	3001048	1
F110	371467	3001082	4
C36	371330	3001067	0
F13	371474	3001095	0
A221	371835	3001523	0
A217	371830	3001518	0
H35	369766	3000836	1
F222	371460	3001054	0
J220	371131	3000858	0
C122	371315	3001052	2
G324	371009	3001070	0
H24	369768	3000837	1
G12	370978	3001085	0
H213	369781	3000826	0
F23	371485	3001087	0
F31	371490	3001089	0
K318	371688	3000906	1
B124	370884	3001099	0
B24	370849	3001112	0
H125	369812	3000831	0
J25	371149	3000882	0
K311	371677	3000908	0
E313	369960	3000930	1
F33	371487	3001087	0
G16	370985	3001083	1
E312	369962	3000931	0
E317	369955	3000922	1
F28	371479	3001078	0
E17	369980	3000955	0
F312	371478	3001071	2
H118	369797	3000830	0
C313	371340	3001056	2
B121	370877	3001099	0
D31	370006	3001359	0
K224	371706	3000906	0
D210	370003	3001361	0
D211	369999	3001363	0
D219	369986	3001350	0
A223	371838	3001529	0
G32	370970	3001082	0
C22	371310	3001063	3
A320	371816	3001483	1
D120	369976	3001334	0
A34	371841	3001501	6
A39	371835	3001494	1
D310	370006	3001345	0
J317	371139	3000864	0
K25	371668	3000905	0
B32	370848	3001105	0
C121	371316	3001052	0
C223	371328	3001052	5
C29	371318	3001052	0
G29	370985	3001078	7
J21	371156	3000884	1
G25	370976	3001082	0
C323	371346	3001039	1
G221	371006	3001074	0
A17	371804	3001524	0
A23	371818	3001494	1
D116	369973	3001343	0
D35	370008	3001352	0
E310	369964	3000933	0
F314	371475	3001067	1
G122	371014	3001076	0
K225	371708	3000908	0
D23	370016	3001367	0
F16	371470	3001093	1
F221	371462	3001058	0
K211	371680	3000908	6
K313	371675	3000910	1
A31	371843	3001507	0
C315	371341	3001052	4
D12	369975	3001373	0
D21	370021	3001368	0
E26	369984	3000946	0
G222	371008	3001074	1
G23	370973	3001084	1
H122	369806	3000830	0
H215	369782	3000823	1
J33	371161	3000886	0
B14	370849	3001116	0
D28	370006	3001363	0
F21	371487	3001091	0
H119	369801	3000830	0
K29	371677	3000912	5
C218	371326	3001058	0
C219	371328	3001056	1
D112	369971	3001349	0
E322	369949	3000917	0
E323	369949	3000913	0
E37	369969	3000941	0
F212	371475	3001071	2
G117	371006	3001078	0
G118	371008	3001078	0
H124	369809	3000831	0
K321	371675	3000914	1
A110	371802	3001518	0
E38	369967	3000939	0
F120	371457	3001066	1
C211	371325	3001052	1
B115	370868	3001107	0
E14	369982	3000963	0
H218	369782	3000817	0
K220	371700	3000906	1
C220	371326	3001054	0
H19	369778	3000834	1
D222	369984	3001347	0
E122	369970	3000928	0
B114	370866	3001109	0
E116	369977	3000941	0
H27	369769	3000832	5
E324	369947	3000911	0
D114	369971	3001345	0
A123	371792	3001494	0
E214	369983	3000929	0
H323	369764	3000804	0
C112	371326	3001041	11
J224	371126	3000849	0
A117	371795	3001507	0
A214	371828	3001514	0
D15	369975	3001367	0
F121	371455	3001064	0
F24	371484	3001087	0
F29	371478	3001076	0
G24	370975	3001083	2
J15	371149	3000891	0
K319	371693	3000906	0
H115	369792	3000830	0
A111	371800	3001516	0
B19	370858	3001112	0
E29	369984	3000940	0
E319	369952	3000922	0
G13	370980	3001085	3
G14	370981	3001083	0
E39	369965	3000937	0
G11	370976	3001087	7
H23	369769	3000837	1
J214	371139	3000869	0
J32	371163	3000889	5
C210	371323	3001052	1
J19	371144	3000882	0
H14	369774	3000837	1
D29	370004	3001363	0
H15	369773	3000839	0
F313	371477	3001069	1
H222	369779	3000810	0
C213	371325	3001048	3
K22	371660	3000908	12
G220	371004	3001074	1
K39	371670	3000912	7
G120	371011	3001078	1
H117	369796	3000828	0
K310	371672	3000912	7
E19	369980	3000952	0
F25	371482	3001084	0
J22	371154	3000884	0
K322	371678	3000914	1
H12	369766	3000845	0
J116	371131	3000877	0
J218	371134	3000862	0
H13	369768	3000843	0
C28	371316	3001058	3
K323	371680	3000914	3
D110	369973	3001356	0
J111	371143	3000879	0
B113	370863	3001109	0
B117	370869	3001107	0
C312	371336	3001058	4
F124	371452	3001062	0
E125	369972	3000922	1
E27	369985	3000944	0
E124	369973	3000924	0
H220	369782	3000813	0
H315	369776	3000819	0
B31	370851	3001107	0
J211	371143	3000873	0
B215	370868	3001103	0
J212	371141	3000873	0
A27	371820	3001501	0
K219	371695	3000906	0
A112	371799	3001514	0
B119	370874	3001103	0
K221	371698	3000904	0
D113	369973	3001350	0
C216	371323	3001059	5
J110	371141	3000880	1
J113	371138	3000875	0
B17	370854	3001114	0
B122	370881	3001099	0
E15	369982	3000959	1
E18	369979	3000953	0
C116	371323	3001047	1
J216	371136	3000866	0
J215	371138	3000868	0
G218	370998	3001076	0
G219	371003	3001076	0
F26	371480	3001082	2
C17	371344	3001039	5
C314	371339	3001054	1
E315	369959	3000926	0
G119	371009	3001078	0
K34	371664	3000912	9
K37	371669	3000912	4
B11	370845	3001120	2
B29	370853	3001107	0
A13	371809	3001529	1
K33	371660	3000916	10
E121	369972	3000930	0
H26	369771	3000836	0
F220	371463	3001058	0
B26	370849	3001109	0
B224	370879	3001092	1
C27	371313	3001058	0
H216	369784	3000819	1
B220	370874	3001094	0
K21	371667	3000914	0
J27	371148	3000880	1
B15	370851	3001116	1
B120	370876	3001103	0
J120	371128	3000866	0
A22	371818	3001490	0
C310	371328	3001065	0
C212	371326	3001050	3
J114	371136	3000875	1
D124	369984	3001332	0
F217	371468	3001064	0
B23	370846	3001113	0
J210	371144	3000877	0
B213	370863	3001103	0
G214	370994	3001080	2
G114	370999	3001078	1
G212	370990	3001081	4
B221	370877	3001096	0
H211	369778	3000830	1
F216	371470	3001065	2
H313	369774	3000821	0
B28	370854	3001107	0
G112	370993	3001081	4
K222	371703	3000906	0
F213	371473	3001071	1
H29	369774	3000832	1
J118	371131	3000869	0
B212	370861	3001105	0
E123	369970	3000924	0
J115	371134	3000875	0
D34	370006	3001356	0
J11	371156	3000895	7
E22	369985	3000955	0
D224	369984	3001343	0
H111	369784	3000830	1
B225	370881	3001092	0
K324	371682	3000916	0
E13	369984	3000964	0
J119	371129	3000869	0
C225	371334	3001047	9
C319	371339	3001046	4
B211	370858	3001105	0
B216	370869	3001101	0
J12	371153	3000893	1
C37	371331	3001065	2
E31	369975	3000948	0
D11	369973	3001373	0
D26	370008	3001365	0
E35	369970	3000941	1
A219	371832	3001521	0
A118	371794	3001505	1
E33	369972	3000944	0
F117	371464	3001071	0
E32	369974	3000946	0
E117	369977	3000937	0
F214	371472	3001071	0
C222	371331	3001052	7
B214	370866	3001105	0
E119	369975	3000935	0
H18	369776	3000836	1
F118	371460	3001069	3
B12	370848	3001120	0
C31	371318	3001067	0
F116	371462	3001073	3
C320	371341	3001046	8
H310	369777	3000821	0
D33	370004	3001358	0
B118	370871	3001103	0
J121	371126	3000866	0
H38	369769	3000828	3
C316	371336	3001052	4
F111	371467	3001080	0
J14	371151	3000893	0
H210	369779	3000828	0
F15	371472	3001089	3
A315	371832	3001508	1
C38	371330	3001065	1
H112	369786	3000830	1
D25	370013	3001365	0
D32	370003	3001358	0
C35	371325	3001071	3
H39	369771	3000828	1
B111	370864	3001112	0
F18	371470	3001088	1
E112	369980	3000946	0
C311	371333	3001059	8
C34	371321	3001067	0
D212	369998	3001361	0
F11	371475	3001097	0
D221	369986	3001347	0
F19	371469	3001086	4
F14	371474	3001093	1
E110	369982	3000952	0
D214	369993	3001360	0
D213	369995	3001360	0
H28	369773	3000834	1
E113	369979	3000946	0
A220	371835	3001521	0
A210	371825	3001507	0
A29	371823	3001507	0
A216	371830	3001516	0
D218	369988	3001356	0
F112	371465	3001078	0
A14	371792	3001527	0
A213	371827	3001510	0
D216	369990	3001360	0
H36	369766	3000834	8
A222	371837	3001527	0
A225	371842	3001532	0
H21	369764	3000843	0
A12	371810	3001529	0
A11	371815	3001531	2
G31	370965	3001084	0
F125	371450	3001058	0
E325	369944	3000910	0
C21	371305	3001065	2
D325	369984	3001323	0
D324	369986	3001325	0
D123	369981	3001334	0
D122	369979	3001334	0
D119	369974	3001336	0
D115	369971	3001341	0
D225	369983	3001343	0
D111	369975	3001362	0
D118	369973	3001339	0
B21	370843	3001113	0
A125	371790	3001492	0
E120	369974	3000931	0
H33	369763	3000838	3
